issue_key,project_key,project_name,issue_type,status,priority,created,updated,labels,summary,description,acceptance_criteria,comments
CSCI-735,CSCI,CW Cloud Data Platform Interim Solution,Task,Done,Medium,25/Nov/25 11:11 AM,10/Dec/25 9:55 AM,,Power BI SSO to Snowflake,"h3. Context

Enable and configure Microsoft Power BI to connect to Snowflake using single sign-on (SSO) via Microsoft Entra ID and External OAuth. This setup allows users to access Snowflake data without requiring an on-premises Power BI Gateway. The configuration includes security integration creation in Snowflake, network policy validation, role mapping, and troubleshooting of common SSO issues.

h3. Acceptance criteria

* Power BI security integration created and verified in Snowflake.
* Users can connect to Snowflake via Power BI with Microsoft Entra ID SSO.
* Verification of access using login history queries.

h3. 

h3. 

h3. 

h3. 

h3. 

h3.","Given, When, Then","Hi @user can you pls help us create a SSO integration for PowerBI in Snowflake using AccountAdmin privilege: 

Instruction in this doc 

[+Power BI SSO to Snowflake | Snowflake Documentation+|https://url.au.m.mimecastprotect.com/s/C3TBCBNq3QhxWxoqT6h9C2R4Yj?domain=docs.snowflake.com] 

If you have any question, please reach out to Jess and Eugene, 

@user @user @user

Hey @user,

Would you able to work with @user on this one after Appriss?

Thanks

performance issue to be review"
CSCI-734,CSCI,CW Cloud Data Platform Interim Solution,Task,Done,Medium,25/Nov/25 11:07 AM,25/Nov/25 1:28 PM,,Connect to Snowflake in the Power BI Service,"*Description:*
Configure the Power BI service to connect to Snowflake, optionally enabling Microsoft Entra ID single sign-on (SSO). This includes configuring administrative settings across Snowflake, Power BI, and Azure, and updating semantic models to support SSO or basic authentication.

*Acceptance Criteria:*

* Power BI Admin portal configured to send Microsoft Entra tokens to Snowflake.
* Semantic models updated to use Microsoft Entra ID credentials for SSO where required.
* Verification of connectivity and authentication tested successfully i","Given, When, Then",
CSCI-733,CSCI,CW Cloud Data Platform Interim Solution,Task,Done,Medium,25/Nov/25 9:25 AM,05/Dec/25 11:41 AM,NLP_BI,NLP BI || Retail Knowledge Transfer,"h3. Context

* Knowledge Transfer on retail data 

h3. Deliverables

Below information are provided:

# *Store IDs* for all MyChemist locations now converted to Amcal.
# *Mapping rules* between CW products and IQVIA products.
# CWG exclusive product (done)

h3. 

h3. 

h3. 

h3. 

h3. 

h3. 

h3.","Given, When, Then","@user - Can you review and confirm if any additional information is needed or not?

Thanks @user. I have a follow-up question about the Amcal Branch ID file and will connect with you when you are available tomorrow.

@user Could you pls. review the CWH_IQVIA_PRODUCT_MAPPING file and check if the CWH product can be mapped to the product in the Dim_Product_Retail_Master_VW using IQVIA ID. Pls. let us know if any qs. Thanks.

Required information and data is shared with Data Science Team

Hi @user , Could you please confirm that you have got all info and data that you needed from CWH team for now? I can then close this ticket.

@user yes we’ve got all the datasets for now. Just to let you know that we might come back to you later as the business users start using the application and raise some important questions not covered by the current datasets. Thanks for your help."
CSCI-732,CSCI,CW Cloud Data Platform Interim Solution,Task,Done,Medium,25/Nov/25 9:24 AM,05/Dec/25 3:02 PM,NLP_BI,NLP BI || Snowflake Table review/refresh,"*Objective*

Review data quality issue identified in meeting regarding missing values.

Design and implement automated refresh processes for CW Retail Bronze tables, enabling continuous ingestion of the latest data. Implement delta or change-data-capture logic where applicable to ensure efficient updates and maintain historical accuracy.

Target tables:

* *DIM_PRODUCT*
* *DIM_STORE*
* *FCT_SALES*
* *FCT_STOCK*

All tables must be refreshed reliably and be made query-ready for downstream consumption via datashare

Acceptance Criteria

* Automated refresh pipelines for DIM_PRODUCT, DIM_STORE, FCT_SALES, FCT_STOCK
* Delta/CDC logic implemented where applicable
* Scheduling and monitoring enabled
* Validation evidence (row count checks, sample reconciliations)","Given, When, Then","Data Refreshed until 26/11/2025. Now reviewing with Amit. Will continue this process for a few days. Once we are happy with the stats. I will create the PR to publish the schedule.

duplicates identified in the data and noticed the data is getting deleted in the source table. Need to implement a logic to accommodate the deletions.

PR created and merge changes are rebased with master and waiting for approval.

Changes are now published. Job will run every day at 12:30pm"
CSCI-731,CSCI,CW Cloud Data Platform Interim Solution,Task,Done,Medium,24/Nov/25 11:22 PM,26/Nov/25 10:38 AM,,Placeholder - New Table extraction from source to bronze,"h3. Context

* Placeholder card to extract any new table identify as needed for LLM project

h3. 

h3. 

h3. 

h3. 

h3.","Base on identified table needed to support LLM project

* Tables are extracted from source and ingested into CW SF Bronze
* Historical Data loaded",No additional table needed as of this sprint
CSCI-728,CSCI,CW Cloud Data Platform Interim Solution,Task,Done,Medium,21/Nov/25 12:49 PM,05/Dec/25 9:32 AM,,Error Investigation || SF SSO to PBI via PrivateLink,"h3. Context

* An investigation is required into a Power BI Desktop → Snowflake SSO authentication issue occurring when connecting via PrivateLink. Microsoft Support has requested further validation steps and clarification on the configuration.

h3. Objective

* Analyse the SSO authentication error encountered in Power BI Desktop when connecting to Snowflake through PrivateLink and follow suggestion as per MS support
* Prepare required details or logs for Microsoft Support if escalation is needed.

h3. Acceptance criteria

* Technical findings on the root cause (where identifiable).
* Updated configuration steps or corrections if required.
* PBI is able to connect to SF when Private link turned on

h3. 

h3. 

h3. 

h3. 

h3. 

h3.","Given, When, Then","Based on my investigation, we need also to add PowerBI and Snowflake SSO Integration:

* [+Connect to Snowflake with Power BI - Power BI | Microsoft Learn+|https://learn.microsoft.com/en-us/power-bi/connect-data/service-connect-snowflake]
* [+Power BI SSO to Snowflake | Snowflake Documentation+|https://docs.snowflake.com/en/user-guide/oauth-powerbi]

Separate base on task

* [+Connect to Snowflake with Power BI - Power BI | Microsoft Learn+|https://learn.microsoft.com/en-us/power-bi/connect-data/service-connect-snowflake] – CSCI-734

[+Power BI SSO to Snowflake | Snowflake Documentation+|https://docs.snowflake.com/en/user-guide/oauth-powerbi] +-+ CSCI-735"
CSCI-716,CSCI,CW Cloud Data Platform Interim Solution,Task,Done,Medium,21/Nov/25 12:35 PM,22/Dec/25 4:38 PM,,Source to Target Mapping || FactWarehouseInventoryHistory,Source to target mapping for FactWarehouseInventoryHistory- filling out sheet as per Source-to-target Fact,"* Columns as per[ supplied sheet|https://sigmacompanylimited-my.sharepoint.com/:x:/r/personal/phillip_yuen_sigmahealthcare_com_au/Documents/Inventory%20Source-to-target%20document%20-%20Dimensions.xlsx?d=w8e06411f59a74a9faefa002ad5a5b931&csf=1&web=1&e=cpn3bw&nav=MTVfezg1QUM4QzQwLTY1RUMtNDkxQy05N0RCLTY0QjQ2OTI4RDJDQn0] to be filled
** Pres Column name
** Data type
** Description
** Source
*** Server
*** DB
*** Schema
*** Table
*** Column
*** Derived? Yes or no","Bring card up to sprint 14 @user - fyi

[Source-To-Target-Mapping (STTM).xlsx|https://mychemist.sharepoint.com/:x:/r/sites/TheLanding/MergeCoData/Shared%20Documents/01.%20Projects/01.%20SC%20Interim%20Data%20Platform/01.%20Discovery/Source%20to%20Target%20Facts%20and%20Dims%20in%20Prioritised%20domains/Source-To-Target-Mapping%20(STTM).xlsx?d=w91fdef3eff684f5fb7d9135bb7c90fc8&csf=1&web=1&e=G9oYh5&nav=MTVfe0RGM0EyMDAyLUFBMEQtNDc3MS05QzUzLTIwMzMwMjJEMDMyOH0]

@user Please review

As discussed with Bhavya, removed WarehouseLocation attribute from model (this cannot be done where the source is from AX - WarehouseLocation will sit on the FactWarehouseInventoryLocation-Intra/History models instead).

Renamed StockCostPrice to AverageRealCost.
Added AverageNetworkCost and AverageStoreCost (based on advice from Bhavya).
Removed StockAmount (this is removed from the platinum model, but will be added into the gold layer)."
CSCI-715,CSCI,CW Cloud Data Platform Interim Solution,Task,Done,Medium,21/Nov/25 12:33 PM,22/Dec/25 4:38 PM,,Source to Target Mapping || FactWarehouseInventoryIntra,Source to target mapping for FactWarehouseInventoryIntra- filling out sheet as per Source-to-target Fact,"* Columns as per[ supplied sheet|https://sigmacompanylimited-my.sharepoint.com/:x:/r/personal/phillip_yuen_sigmahealthcare_com_au/Documents/Inventory%20Source-to-target%20document%20-%20Dimensions.xlsx?d=w8e06411f59a74a9faefa002ad5a5b931&csf=1&web=1&e=cpn3bw&nav=MTVfezg1QUM4QzQwLTY1RUMtNDkxQy05N0RCLTY0QjQ2OTI4RDJDQn0] to be filled
** Pres Column name
** Data type
** Description
** Source
*** Server
*** DB
*** Schema
*** Table
*** Column
*** Derived? Yes or no","[Source-To-Target-Mapping (STTM).xlsx|https://mychemist.sharepoint.com/:x:/r/sites/TheLanding/MergeCoData/Shared%20Documents/01.%20Projects/01.%20SC%20Interim%20Data%20Platform/01.%20Discovery/Source%20to%20Target%20Facts%20and%20Dims%20in%20Prioritised%20domains/Source-To-Target-Mapping%20(STTM).xlsx?d=w91fdef3eff684f5fb7d9135bb7c90fc8&csf=1&web=1&e=KeEcaO&nav=MTVfezhBRDI5QzE1LTY0RTctNEJBMi1CNzNGLUZEQjlCMkMyMTc2MX0]

@user Please review

As discussed with Bhavya, removed WarehouseLocation attribute from model (this cannot be done where the source is from AX - WarehouseLocation will sit on the FactWarehouseInventoryLocation-Intra/History models instead).

Renamed StockCostPrice to AverageRealCost.
Added AverageNetworkCost and AverageStoreCost (based on advice from Bhavya).
Removed StockAmount (this is removed from the platinum model, but will be added into the gold layer)."
CSCI-713,CSCI,CW Cloud Data Platform Interim Solution,Task,Done,Medium,21/Nov/25 12:32 PM,22/Dec/25 12:18 PM,,Source to Target Mapping || FactStoreInventoryHistory,Source to target mapping for FactStoreInventoryHistory- filling out sheet as per Source-to-target Fact,"* Columns as per[ supplied sheet|https://sigmacompanylimited-my.sharepoint.com/:x:/r/personal/phillip_yuen_sigmahealthcare_com_au/Documents/Inventory%20Source-to-target%20document%20-%20Dimensions.xlsx?d=w8e06411f59a74a9faefa002ad5a5b931&csf=1&web=1&e=cpn3bw&nav=MTVfezg1QUM4QzQwLTY1RUMtNDkxQy05N0RCLTY0QjQ2OTI4RDJDQn0] to be filled
** Pres Column name
** Data type
** Description
** Source
*** Server
*** DB
*** Schema
*** Table
*** Column
*** Derived? Yes or no","Made some amendments (based on new changes made to FactStoreInventoryIntra):

* StockCostPrice been renamed to AverageRealCost
* StockOnHandValue, InboundValue and OutboundValue all removed (these will be added to the gold layer product instead)
* AverageNetworkCost and AverageStoreCost added"
CSCI-712,CSCI,CW Cloud Data Platform Interim Solution,Task,Done,Medium,21/Nov/25 12:31 PM,22/Dec/25 12:09 PM,,Source to Target Mapping || FactStoreInventoryIntra,Source to target mapping for FactStoreInventoryIntra- filling out sheet as per Source-to-target Fact,"* Columns as per[ supplied sheet|https://sigmacompanylimited-my.sharepoint.com/:x:/r/personal/phillip_yuen_sigmahealthcare_com_au/Documents/Inventory%20Source-to-target%20document%20-%20Dimensions.xlsx?d=w8e06411f59a74a9faefa002ad5a5b931&csf=1&web=1&e=cpn3bw&nav=MTVfezg1QUM4QzQwLTY1RUMtNDkxQy05N0RCLTY0QjQ2OTI4RDJDQn0] to be filled
** Pres Column name
** Data type
** Description
** Source
*** Server
*** DB
*** Schema
*** Table
*** Column
*** Derived? Yes or no","@user - Can you pls review this one? thx

Made some amendments (based on new changes made to model):

* StockCostPrice been renamed to AverageRealCost
* StockOnHandValue, InboundValue and OutboundValue all removed (these will be added to the gold layer product instead)
* AverageNetworkCost and AverageStoreCost all added
** Copied over column values based on note Bhavya left regarding Opening/Closing SOH Network/Store Average Amount"
CSCI-707,CSCI,CW Cloud Data Platform Interim Solution,Task,Done,Medium,20/Nov/25 8:21 PM,25/Nov/25 5:20 PM,,Appriss Tactical || Data Mapping Queries for Voided Transactions & Total Amount Fields - ARDM_HEADER,"h3. *Context*

Amit raised a data-mapping query regarding the fields *Total Amount*, *Calculated Total*, and *Original Total* in the _ARDM_HEADER_ table, noting that all three currently have the same mapping. Clarification is required from the Appriss team on the intended logic and definitions.
Additionally, review and updates are required for the mapping of *voided transactions*, based on customer feedback and sample data to be provided.

h3. *Objective*

Confirm the correct data-mapping rules for total amount fields and finalise the approach for handling voided transactions within the ARDM schema.

h3. *Deliverables*

* Confirmed definitions and mapping rules for Total Amount, Calculated Total, and Original Total.
* Updated mapping rules for voided invoices including required columns.
* Revised ARDM data mapping document or schema definition.
* Summary of decisions and rationale shared with the team.","* Mapping rules for total amount fields are clarified and approved.
* Final approach for voided transactions is documented and aligns with customer guidance.","Analysis done! Found a solution to combine two separate data sets into one. Will continue working on this in the next Sprint

Work in Progress. Planning to finish by tomorrow.

ARDM_HEADER is now complete, and queries are shared with @user"
CSCI-702,CSCI,CW Cloud Data Platform Interim Solution,Task,Done,Medium,20/Nov/25 9:34 AM,21/Nov/25 11:58 AM,,Knowledge Transfer - Chloe & Ashu,"*Context*
Knowledge transfer session between *Chloe* and *Ashu* to ensure continuity of work and coverage of Chloe’s tasks during *26 Nov – 5 Dec*, and any additional support as needed.

*Objective*
Ensure Ashu has full visibility and understanding of Chloe’s responsibilities, workflows, and in-flight tasks so that work can continue smoothly during the specified period.

*Steps*

* Chloe to walk through current tasks, priorities, outstanding actions

*Deliverables*

* Handover notes / documentation created where available.","Given, When, Then",
